,property_name,location,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,facing,ownership,bedrooms,bathrooms,balcony,floor,furnish_type,rating,prop_type,city,luxury_score,Study Room,Servant Room,Store Room,Pooja Room,Others,ageing,location_area
3242,RajMahal Apartment,Santacruz,600000000,109090,,5500,,West,Freehold,4,4,3,3,Semifurnished,4.3,Flat,Mumbai,42,0,1,0,0,0,Relatively Old,Santacruz
5643,Private Sea Face Bunglow,Juhu,600000000,200000,,3000,,,Freehold,4,5,3,0,Furnished,4.4,House,Mumbai,102,1,1,0,1,1,Relatively Old,Juhu
5713,Jvpd Scheme,Juhu,600000000,60000,,7870,,East,Freehold,6,8,2,0,Furnished,4.4,House,Mumbai,102,1,1,0,1,0,Old,Juhu
6203,On Request,Khar,600000000,30000,,20000,,West,Co-operative Society,1,1,3,0,Semifurnished,4.4,House,Mumbai,182,1,1,1,1,0,Relatively Old,Khar
8399,Signia Isles,Bandra Kurla Complex,600000000,12000,,50000,,East,Freehold,1,1,3,22,Unfurnished,4,Flat,Mumbai,400,0,0,0,1,0,New,Bandra
2801,"Birla Niyara phase 2 Tower B, SILAS",Worli,588500000,137339,,4285,,North,Freehold,5,5,3,39,Unfurnished,4.3,Flat,Mumbai,144,0,0,0,0,0,Under Construction,Worli
5701,"Juhu, Mumbai, Western Mumbai",Juhu,550000000,176195,,,,West,Freehold,4,6,3,0,Furnished,4.4,House,Mumbai,248,1,1,1,1,0,Relatively Old,Juhu
6690,Raheja Legend,Worli,550000000,96491,,5700,,,Freehold,5,6,2,20,Unfurnished,4.4,Flat,Mumbai,52,1,0,0,0,0,Relatively Old,Worli
5655,Lodha World Towers,Worli,549500000,72000,,,,,,,,,,,4.3,House,Mumbai,72,0,0,0,0,0,,Worli
5871,Lodha World Towers,Worli,549500000,72000,,,,,,,,,,,4.3,House,Mumbai,72,0,0,0,0,0,,Worli
5415,Lodha World Towers,Worli,548400000,71852,,,,,,,,,,,4.3,House,Mumbai,72,0,0,0,0,0,,Worli
5994,Lodha World Towers,Worli,548400000,71852,,,,,,,,,,,4.3,House,Mumbai,72,0,0,0,0,0,,Worli
